height,leftHipAngle,rightHipAngle,leftKneeAngle,RightKneeAngle,chestAngle,chestKneeAngle
0.948212,123.158,135.06,104.457,102.633,176.687,105.473
0.950373,122.841,135.182,111.094,101.397,176.7,105.467
0.950413,122.705,135.236,104.364,101.401,176.729,105.442
0.950241,122.991,135.135,110.757,101.377,176.71,105.421
0.925076,122.91,135.148,110.725,114.234,176.771,105.299
0.962784,123.072,135.039,110.928,97.1548,176.727,105.343
0.924502,122.959,135.076,110.931,115.919,176.771,105.252
0.92515,122.935,135.055,110.863,115.439,176.802,105.189
0.917545,122.857,135.054,113.229,115.526,176.865,105.122
0.967557,122.866,135.079,112.244,95.5594,176.91,105.046
0.967553,122.823,135.119,113.325,95.542,176.956,104.99
0.967215,122.839,135.097,102.578,95.5829,176.969,104.953
0.965484,122.815,135.11,109.996,96.2149,176.971,104.946
0.964649,122.83,135.104,109.807,96.4786,176.977,104.938
0.949765,123.074,134.985,103.225,113.366,176.829,105.088
0.913436,122.864,135.086,114.604,113.286,176.854,105.022
0.922227,122.767,135.125,111.751,112.937,176.708,105.14
0.955223,123.134,135.006,111.328,100.111,176.698,105.163
0.92415,122.969,135.049,111.186,113.663,176.751,105.104
0.963226,123.079,135.009,111.176,96.6423,176.752,105.096
0.962951,123.003,135.054,111.032,96.5999,176.787,105.027
0.930556,122.888,135.091,111.342,107.842,176.854,104.969
0.967062,122.911,135.131,111.326,95.2007,176.86,104.98
0.967226,122.934,135.222,111.365,95.2691,176.875,104.991
0.923612,123.345,135.112,111.348,111.742,176.853,104.976
0.963346,123.303,135.19,111.121,96.7437,176.873,104.957
0.963446,123.13,135.35,111.043,96.7575,176.896,104.981
0.963177,123.125,135.561,111.26,96.8525,176.904,104.981
0.963341,123.096,135.879,113.557,96.9051,176.916,105.023
0.963024,123.717,135.939,113.574,97.1488,176.858,105.11
0.962407,123.703,136.249,113.657,97.3968,176.861,105.102
0.961437,123.947,136.209,112.671,98.0901,176.893,105.144
0.922427,123.855,136.388,111.913,116.421,176.914,105.022
0.92442,123.69,136.283,111.394,118.5,176.911,104.967
0.924995,123.03,136.474,111.505,118.99,177.016,104.878
0.92618,123.089,136.377,111.001,119.587,177.056,104.823
0.94684,122.909,136.398,104.902,122.383,177.047,104.824
0.919202,122.197,136.47,113.652,121.965,177.091,104.776
0.951965,122.17,136.483,103.349,122.203,177.12,104.795
0.883779,122.23,136.406,97.1075,122.322,177.131,104.886
0.930393,122.377,136.381,109.326,122.184,177.141,104.907
0.918918,122.108,136.372,113.424,122.058,177.249,104.853
0.918333,122.407,136.236,113.457,121.949,177.22,104.921
0.91699,122.209,136.188,113.595,121.645,176.972,105.094
0.917607,122.279,136.039,113.135,121.778,176.95,105.122
0.9116,122.29,135.954,114.503,121.688,176.938,105.111
0.910581,122.327,135.843,114.527,121.536,176.938,105.103
0.927678,122.303,135.676,109.823,121.424,176.933,105.138
0.928598,122.17,135.633,109.68,121.393,176.927,105.115
0.920614,122.132,135.474,111.914,121.121,176.925,105.043
0.917622,122.127,135.424,112.596,121.007,176.921,105.075
0.914759,122.158,135.355,113.271,120.916,176.921,105.098
0.913697,122.097,135.317,113.454,119.32,176.913,105.137
0.913754,121.958,135.27,113.472,118.994,176.905,105.157
0.927618,122,135.232,109.841,120.163,176.895,105.158
0.918879,121.864,135.284,111.82,120.666,176.933,105.097
0.91937,121.903,135.211,111.899,120.967,176.939,105.141
0.92448,121.902,135.179,110.629,121.126,176.937,105.158
0.923095,121.878,135.157,110.896,118.087,176.934,105.163
0.923925,121.892,135.136,110.665,119.691,176.93,105.174
0.914372,121.861,135.097,113.097,120.061,176.936,105.16
0.91297,121.037,135.348,113.428,120.32,177.035,105.049
0.923969,121.158,135.304,110.381,120.409,177.025,105.068
0.89752,121.241,135.27,117.682,120.555,177.026,105.086
0.902256,121.284,135.243,116.39,120.553,177.019,105.121
0.923955,121.483,135.17,110.497,120.515,176.981,105.178
0.898348,121.479,135.172,117.397,120.479,176.969,105.171
0.901049,121.556,135.129,116.578,120.439,176.96,105.171
0.903899,121.482,135.109,115.914,120.44,176.97,105.191
0.918876,121.522,135.076,111.704,117.138,176.976,105.189
0.937557,121.483,135.06,112.1,106.314,176.971,105.172
0.920774,121.493,135.035,112.413,111.453,176.98,105.15
0.920645,121.529,134.976,113.06,111.46,176.979,105.142
0.920699,121.562,134.95,112.386,111.428,176.976,105.13
0.922286,121.537,134.935,110.317,111.329,176.97,105.137
0.913778,121.58,134.845,112.806,114.558,176.971,105.166
0.921907,121.587,134.796,110.516,116.322,176.973,105.162
0.916225,121.629,134.795,111.898,115.504,176.969,105.159
0.920333,121.689,134.768,110.808,117.855,176.962,105.149
0.955084,121.779,134.775,112.223,100.344,176.952,105.144
0.913581,121.935,134.746,112.29,113.875,176.939,105.166
0.913312,122.02,134.798,112.294,115.241,176.937,105.108
0.916062,122.114,134.773,111.408,115.868,176.925,105.127
0.916713,122.128,134.773,111.237,115.7,176.903,105.147
0.967875,122.292,134.76,108.797,94.9827,176.891,105.152
0.967776,122.355,134.746,108.807,94.9851,176.885,105.138
0.936462,122.353,134.736,105.402,108.335,176.881,105.147
0.996589,121.879,134.896,110.871,90.7914,176.922,105.091
0.996117,121.948,134.816,112.066,90.7922,176.902,105.014
0.995954,121.909,134.914,112.029,90.7466,176.9,104.968
0.936337,122.003,134.885,111.722,105.629,176.887,104.966
0.930035,122.033,134.877,109.532,107.49,176.875,104.951
0.958157,121.986,134.881,107.423,96.7892,176.874,104.925
0.958109,121.909,134.961,107.764,96.7484,176.86,104.919
0.957976,121.772,135.075,106.747,96.6199,176.867,104.884
0.946863,121.753,135.096,108.822,101.052,176.861,104.881
0.946401,121.783,135.04,107.721,101.17,176.839,104.882
0.94636,121.705,134.962,107.994,101.129,176.835,104.936
0.953661,121.488,134.939,108.07,98.1978,176.83,104.955
0.948221,121.353,134.915,109.067,100.277,176.839,104.983
0.948388,121.303,134.846,108.961,100.2,176.836,105.019
0.94866,121.286,134.855,103.366,100.104,176.849,105.017
0.947931,121.181,134.89,103.294,100.232,176.842,105.023
0.961143,121.176,134.936,108.912,94.955,176.838,105.056
0.953093,121.11,135.04,108.969,98.3698,176.835,105.05
0.952548,121.06,134.942,108.999,98.556,176.831,105.036
0.950721,121.052,134.953,107.938,99.1944,176.815,105.049
0.950589,120.94,135.015,107.588,99.3172,176.803,105.088
0.950009,120.934,134.993,109.434,99.5814,176.806,105.102
0.960026,120.889,135.024,109.913,95.4414,176.842,104.996
0.958607,120.677,135.15,108.659,96.0018,176.875,104.939
0.955457,120.727,135.141,108.02,97.3286,176.895,104.915
0.954271,120.651,135.127,107.94,97.8281,176.919,104.88
0.955641,120.651,135.101,108.514,97.4124,176.957,104.845
0.953752,120.515,135.153,108.464,98.0572,177.001,104.805
0.951252,120.425,135.174,109.405,99.0166,177.013,104.812
0.958102,120.392,135.207,109.39,96.1951,177.045,104.784
0.960397,120.438,135.079,109.31,95.311,177.058,104.797
0.953882,120.52,135.021,108.58,98.1451,177.062,104.802
0.955789,120.525,134.959,108.715,97.2592,177.068,104.806
0.952199,120.706,134.827,102.616,98.6675,177.055,104.815
0.952343,120.802,134.649,107.486,98.7976,177.051,104.861
0.951495,120.812,134.573,109.198,99.1829,177.051,104.878
0.960488,120.853,134.479,109.325,95.846,177.049,104.876
0.960814,120.698,134.441,109.493,95.6584,177.078,104.878
0.949947,120.704,134.419,108.445,99.8248,177.086,104.88
0.948334,120.718,134.38,109.171,100.437,177.089,104.885
0.959567,120.739,134.315,109.196,96.0653,177.078,104.894
0.960002,120.735,134.288,108.591,95.9147,177.084,104.897
0.951634,120.732,134.244,109.245,99.3833,177.094,104.898
0.955373,120.745,134.176,109.256,97.8759,177.092,104.913
0.948425,120.753,134.172,109.156,100.813,177.092,104.913
0.964233,120.754,134.148,105.262,94.7238,177.091,104.908
0.939611,120.776,134.066,109.755,103.833,177.113,104.901
0.942817,120.744,134.042,109.692,102.646,177.119,104.883
0.943202,120.782,133.984,107.162,102.502,177.124,104.886
0.943132,120.785,133.942,107.055,102.535,177.126,104.874
0.955421,120.821,133.903,106.896,97.7828,177.144,104.862
0.95169,120.624,133.998,107.874,99.3179,177.175,104.817
0.960504,120.739,133.892,108.059,95.7556,177.184,104.814
0.948286,120.751,133.881,108.462,100.651,177.183,104.804
0.953171,120.898,133.798,108.797,98.7291,177.204,104.788
0.950151,120.916,133.772,108.797,99.9853,177.213,104.797
0.950243,120.953,133.757,109.809,99.9525,177.22,104.795
0.947906,120.97,133.747,109.879,100.877,177.205,104.824
0.94713,121.003,133.735,109.472,101.177,177.198,104.826
0.946287,121.006,133.712,109.892,101.473,177.2,104.828
0.957689,121,133.708,107.882,96.997,177.201,104.835
0.947576,121.005,133.707,110.165,100.92,177.198,104.832
0.943281,120.762,133.807,110.363,102.377,177.239,104.77
0.963401,120.837,133.751,108.013,94.1558,177.239,104.772
0.963255,120.865,133.701,108.62,94.1875,177.246,104.761
0.961677,120.877,133.692,108.61,95.1052,177.243,104.771
0.952032,120.886,133.65,108.703,99.1465,177.242,104.775
0.948273,120.916,133.62,110.816,100.625,177.23,104.764
0.94531,120.936,133.608,110.634,101.75,177.219,104.768
0.944421,120.651,133.595,110.62,102.132,177.262,104.747
0.949422,120.717,133.577,110.885,100.311,177.25,104.764
0.946067,120.761,133.587,110.484,101.43,177.246,104.755
0.949378,120.831,133.555,108.566,99.8647,177.24,104.754
1.00633,120.868,133.536,108.485,91.5788,177.239,104.763
0.941219,120.959,133.497,109.017,102.957,177.231,104.742
0.955628,120.928,133.482,109.126,97.3044,177.233,104.733
0.947836,120.974,133.476,107.569,100.387,177.234,104.726
0.947134,121.045,133.434,109.414,100.612,177.22,104.751
0.946969,121.027,133.479,109.373,100.712,177.215,104.759
0.946569,121.069,133.473,109.373,100.895,177.206,104.776
0.944715,121.057,133.471,109.364,101.594,177.206,104.802
0.943291,121.073,133.454,107.863,101.999,177.205,104.798
0.949218,121.087,133.392,107.316,99.8035,177.211,104.806
0.948066,121.145,133.37,110.14,100.208,177.209,104.806
0.947354,121.111,133.475,107.608,100.396,177.216,104.774
0.946923,121.113,133.467,105.466,100.516,177.205,104.778
0.946653,121.114,133.455,106.821,100.613,177.206,104.785
0.94647,121.113,133.428,106.873,100.736,177.211,104.799
0.943706,121.198,133.4,106.324,101.7,177.201,104.807
0.943711,121.232,133.353,106.41,101.602,177.219,104.804
0.949663,121.237,133.331,111.047,99.3418,177.195,104.822
0.948937,121.352,133.215,104.315,99.5736,177.222,104.824
0.947688,121.374,133.2,105.218,99.8913,177.228,104.825
0.948581,121.385,133.198,105.463,99.4577,177.248,104.815
0.948848,121.399,133.187,108.02,99.2437,177.249,104.811
0.948621,121.408,133.171,108.736,99.3136,177.264,104.8
0.947855,121.447,133.121,108.442,99.4359,177.298,104.789
0.948027,121.19,133.207,108.744,99.229,177.347,104.763
0.949036,121.251,133.138,108.887,98.6838,177.355,104.753
0.949008,121.285,133.092,108.981,98.6313,177.356,104.745
0.948893,121.32,133.041,108.069,98.6578,177.353,104.764
0.948321,121.151,133.094,107.641,98.8125,177.342,104.817
0.94956,121.202,133.069,107.464,98.2928,177.337,104.822
0.949375,121.239,133.026,106.712,98.3017,177.324,104.833
0.950129,121.237,133.019,106.246,97.9676,177.324,104.84
0.949892,121.275,132.99,108.565,98.0298,177.324,104.835
0.950369,121.263,132.978,107.99,97.7938,177.322,104.856
0.950826,121.265,132.994,107.875,97.5819,177.326,104.853
0.952793,121.291,132.93,108.053,96.69,177.325,104.889
0.953631,121.288,132.905,108.559,96.2374,177.322,104.896
0.955129,121.298,132.883,108.361,95.5098,177.324,104.909
0.95641,121.285,132.83,108.134,94.8565,177.329,104.921
0.957597,121.298,132.787,106.592,94.3831,177.329,104.929
0.957217,121.375,132.705,106.528,94.5289,177.314,104.952
0.957363,121.401,132.655,106.684,94.6095,177.322,104.98
0.959196,121.437,132.629,106.789,93.7031,177.323,104.976
0.959076,121.498,132.576,108.689,93.8456,177.319,104.993
0.959166,121.468,132.581,109.227,93.8946,177.319,105.009
0.95907,121.842,132.557,108.59,93.9856,177.277,104.989
0.958437,121.884,132.557,107.991,94.3777,177.284,104.986
0.958512,122.087,132.644,107.632,94.4404,177.287,104.959
0.958301,122.285,132.716,105.607,94.636,177.285,104.918
0.958294,122.397,132.714,104.176,94.6724,177.301,104.866
0.958372,122.457,132.691,102.857,94.6337,177.307,104.692
0.958314,122.387,132.674,103.011,94.6311,177.309,104.677
0.95857,122.166,132.653,102.054,94.5346,177.317,104.684
0.958521,122.093,132.666,100.126,94.5232,177.329,104.706
0.958326,121.996,132.643,100.293,94.572,177.338,104.724
