height,leftHipAngle,rightHipAngle,leftKneeAngle,RightKneeAngle,chestAngle,chestKneeAngle
1.47809,98.4346,99.2084,168.098,167.815,176.652,169.846
1.47779,98.4423,99.2083,168.072,167.812,176.654,169.841
1.47778,98.442,99.2062,168.089,167.817,176.657,169.835
1.47765,98.4322,99.2213,168.075,167.812,176.658,169.832
1.47758,98.4339,99.2167,168.073,167.765,176.662,169.833
1.47755,98.4363,99.2149,168.081,167.761,176.665,169.83
1.47752,98.4335,99.2126,168.091,167.766,176.666,169.826
1.47752,98.4411,99.2083,168.082,167.76,176.669,169.823
1.47744,98.4479,99.2247,168.083,167.726,176.674,169.782
1.47733,98.4564,99.2215,168.056,167.74,176.678,169.781
1.47725,98.4836,99.2151,168.035,167.757,176.679,169.759
1.47721,98.49,99.2134,167.992,167.756,176.678,169.758
1.47715,98.4922,99.2203,167.98,167.747,176.678,169.757
1.47695,98.499,99.2036,167.959,167.757,176.677,169.757
1.47692,98.4923,99.2002,167.972,167.765,176.677,169.77
1.47682,98.4935,99.2118,167.975,167.731,176.677,169.768
1.47675,98.4954,99.2189,167.966,167.716,176.676,169.761
1.47672,98.5042,99.2228,167.957,167.704,176.677,169.755
1.47664,98.5113,99.2202,167.935,167.733,176.678,169.761
1.47657,98.5108,99.2333,167.93,167.764,176.679,169.758
1.47653,98.5123,99.2411,167.925,167.762,176.681,169.753
1.47655,98.4961,99.3004,167.93,167.707,176.683,169.753
1.47638,98.4908,99.3093,167.965,167.829,176.684,169.751
1.47629,98.4879,99.3103,167.979,167.863,176.685,169.753
1.47632,98.481,99.3216,167.985,167.837,176.687,169.751
1.47633,98.4791,99.3294,167.982,167.852,176.69,169.741
1.47631,98.4781,99.3298,167.98,167.856,176.691,169.742
1.47621,98.4931,99.326,167.979,167.851,176.691,169.737
1.47624,98.4932,99.3336,167.98,167.836,176.692,169.728
1.4765,98.491,99.3458,167.974,167.657,176.692,169.741
1.47645,98.473,99.3752,167.992,167.638,176.692,169.744
1.47638,98.4757,99.3764,168.006,167.633,176.694,169.743
1.47634,98.4701,99.385,168.025,167.649,176.7,169.736
1.47633,98.4579,99.413,168.012,167.667,176.703,169.734
1.47613,98.4512,99.4194,168.011,167.679,176.705,169.732
1.47606,98.4522,99.4426,168.008,167.658,176.709,169.725
1.47611,98.4487,99.4555,168.008,167.648,176.713,169.708
1.47609,98.4308,99.4521,168.03,167.638,176.713,169.712
1.47612,98.4199,99.4919,168.027,167.612,176.715,169.712
1.476,98.4039,99.5119,168.026,167.603,176.72,169.709
1.47591,98.3987,99.5309,168.033,167.615,176.721,169.708
1.47586,98.3937,99.5404,168.051,167.608,176.722,169.705
1.47579,98.3907,99.5335,168.043,167.602,176.731,169.703
1.47574,98.3842,99.5432,168.054,167.567,176.735,169.7
1.47574,98.3803,99.5443,168.042,167.587,176.741,169.685
1.47556,98.3692,99.5349,168.045,167.546,176.752,169.677
1.47554,98.3675,99.5362,168.052,167.543,176.761,169.661
1.4755,98.3688,99.5269,168.047,167.541,176.769,169.651
1.47553,98.3678,99.5176,168.06,167.521,176.777,169.652
1.47555,98.3677,99.5084,168.06,167.51,176.791,169.646
1.47557,98.3628,99.5036,168.054,167.54,176.802,169.636
1.47555,98.3658,99.5021,168.064,167.539,176.81,169.62
1.47545,98.349,99.5045,168.095,167.521,176.817,169.611
1.47533,98.3353,99.5049,168.085,167.549,176.826,169.603
1.47528,98.3289,99.4928,168.095,167.554,176.831,169.61
1.47526,98.3227,99.4795,168.106,167.533,176.835,169.63
1.47527,98.3273,99.4588,168.098,167.511,176.837,169.627
1.47519,98.3228,99.4555,168.096,167.549,176.838,169.624
1.47519,98.3099,99.4619,168.097,167.567,176.842,169.617
1.47514,98.3099,99.4625,168.095,167.566,176.851,169.603
1.47512,98.3007,99.4636,168.102,167.565,176.85,169.61
